PAINTING_NAME,ARTIST_NAME,PAINTING_IMAGE_PATH
The Repast of the Lion,Henri Rousseau,hist_paintings\622194769.jpg
The Return of the Holy Family to Nazareth,Nicolas Poussin,hist_paintings\1450559526.jpg
The River Oise near Pontoise,Camille Pissarro,hist_paintings\1027028333.jpg
The Rock of Salvation,Samuel Colman,hist_paintings\1865558259.jpg
The Salute in Venice,John Singer Sargent,hist_paintings\627176876.jpg
The Ship of Fools,Hieronymus Bosch,hist_paintings\664216075.jpg
The Siesta,Paul Gauguin,hist_paintings\1569896022.jpg
The Sofa,Henri de Toulouse–Lautrec,hist_paintings\159397202.jpg
The Starry Night,Vincent Van Gogh,hist_paintings\870439928.jpg
The Student,Gwen John,hist_paintings\387483520.jpg
The Sun and Sea,Melanee Alfonso,hist_paintings\1758424748.jpg
The Torment of Saint Anthony,Michelangelo,hist_paintings\1737020581.jpg
The Trap,Henri de Toulouse–Lautrec,hist_paintings\1922088189.jpg
The Virgin in Prayer,Rosalba Carriera,hist_paintings\1274759585.jpg
